"nama","ulasan","penilaian"
"Afry namja keipop","Pengen beli mesin jahit via tokped,kira kira toko official brand mesin jahit ada di tokped gak y","4"
"Ninik Sugiarti","Saya mau pesan aja saya mau pesan tapi pas datang itu kan gambarnya sih kayak bagus terus gak sesuai dong terus kalau datang itu kayak apa kayak itu kayak berantakan dan habis itu kok makanya nggak suka Tokopedia ya","1"
"Reza Mardes","KAPOK DEH BELANJA DISINI.. PENGIRIMAN SAME DAY UDAH 3 HARI GA DATANG.. CHAT TOKO NYA GA DI RESPON , UDAH KOMPLAIN TUNGGU SAMPAI 4 HARI.. DUIT GW KOK DI MAENIN??? FIX MENDING PINDAH KE SHOPPE DEH.. KAPOK KAPOK KAPOK","1"
"Galuh Fernando","saya download Tokopedia untuk mencintai produk buatan negri tapi ongkirnya mahal bangeet,padahal di lazada murah loh ongkirnya??","1"
"Dana Perdana","Masih baru jadi peserta jadi belum tahu benar benar bagus apa gak ,tapi dah 4 kali pesenan semua lancar ok,,,,,,","4"
"NINU FARM","Sebenernya aplikasinya sudah bagus,cuma seringkali ongkir di aplikasi dengan di kurir berbeda karena di Tokopedia tidak update...alhasil sering seller nombok, mohon diperbaiki lagi sistem ongkir di Tokopedia.. terimakasih:)","3"
"Indah Oktata","barusan nyobaaaa. ternyattaaa waaahhh kenpa nggak dari dulu pake ini. banyak promonyaa","5"
"Hanifa Maulida","susah am at mau daftarnya.. udah msukin no hp. trus aja suruh masuk .","4"
"Dheani Indriani","Ihh males bgt tampilannya berubah yg dalemnya, udh bagus² yg ikon bawahnya tiga doang, trus yg bagian akun di pojok kanan atas, knpa diganti lg kyk yg awal si min gasukaa","5"
"Awas Pala","Aplikasi bagus, promo bisa digabung juga dan tampilan aplikasinya nyaman banget","5"
"Abu Abdurafi","Alhamdulillah selalu aman berbelanja di Tokopedia, selalu memuaskan, apl nya jg bagus.","5"
"muzaka lathif","belanja di tokopedia is the best wes, banyak promo & gratis ongkir (jne)","5"
"Fajri","Tokopedia gak jelas, orang mau bayar pesanan, eh malah di batalkan sama Tokopedia, otw uninstall. By by. Nyaman di Shopee","1"
"Elena Thiana","ini pertama kali belanja d tokped.... traktiran pengguna baru ny blm ambil.... krn blm ad yg cocok... Belanja d sini semoga tidak mengecewakan. Thx","4"
"Deani Novriani","Aku suka banget sama toko pedia !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Pokok ya mantap deh????????????????????","5"
"Galih Wicaksono","Kode promonya tiba2 tidak bisa digunakan. Payah. Banyak hoaxnya. Mending toko sebelah!","1"
"Angga Mulyana","Hi Tokped, update semakin baik. Sekarang pembayaran COD gratis ongkir. Mantap.","5"
"ran the","Oke aku akan mencoba aplikasi ini, apakah lebih bagus dari toko oren?","5"
"Aris Ries","Saya merasa terbantu adanya Tokopedia,belanja disini lengkap,harga bersaing seller nya responsif,bebas ongkir danCashback nya tidak terbatas waktu bisa di belanjakan token PLN,pulsa,dll...terimakasih Tokopedia semoga jaya dan sukses selalu","5"
"Lisnawati Ridhia","semoga semakin banyak keuntungan untuk customer biar tetap setia dgn Tokopedia","5"
"Akmad Yusup","E-commerce terbaik, selalu memberikan diskon menarik, serta Admin CS memberikan pelayanan dan solusi terbaik terhadap paket yang hilang/dicuri ekspedisi.","5"
"Andi Paprika","Beli pake voucher yang dapet dari kotak kado, eh langsung dibatalkan, dibilang manipulasi transaksi.. Padahal aku transaksi legal.. KZL..","1"
"Arman Susilo","Promo pengguna baru tapi transaksi barang promo selalu gagal. Pdhal blm pernah transaksi sekalipun. Kalau memang tidak ada promo pengguna baru sekalian ga usah ditawarkan promonya.. Auto uninstall, beralih ke si oren apa si merah","1"
"Mutiara Erza","Demi apa, gw tu pengen bngt anjir make toped tpi bingung pas log in nya, pas buat akun nya allahu jaringan hrs bnr bnr kenceng, aku pake WiFi aja sush bngt","3"
"Zona Altara","kenapa tidak ada fitur Live Chat Cs ya supaya mudah utk berkomunikasi dgn pihak tokopedia ?? jika ada kendala cuma pilih2 komplain tp tdk bisa terselesaikan.","3"
"SY Official Youtube Channel","Semennjak ganti hape ke Poco F3, dg sistem MIUI 12.0.3 based on Android 11, sering mengalami putus koneksi internet yg mana di aplikasi lain, internet tetap normal. Solusi sementara yg saya lakukan yaitu Merestart handphone, barulah Tokopedia bisa Refresh lagi feed-nya. Yg bermasalah ini Androidnya atau MIUInya atau Tokopedianya? Jika androidnya atau HPnya, maka aplikasi lain semestinya bermasalah jg. Tp nyatanya tidak. Hanya tokopedia aja.","5"
"silmi karimah","pake tokped sinyal harus full dulu baru bisa, beda ama yg oren. repot sih sebenernya, tapi mayan lah masih dapet banyak vocer free ongkir nya. klo bisa pakai di kondisi apapun saya naikin bintang nya","3"
"indah kurniasari Sulaiman","belanja di mypawparentshop menyenangkan karena pelayanan cepat, produk bagus dan packaging rapi.","5"
"Julyan Rafi W.S","Terima Kasih Tokopedia. Karena aplikasi ini saya bisa belanja barang yang saya inginkan dengan sangat mudah. User Interface yang simple dan Friendly, Potongan Ongkir, sampai Kupon Poin yang bisa ditukar. #BESTONLINESHOPEVER. I??TOKOPEDIA.SUKSES SELALU??","5"
"reni umiyanti","Banyak toko toko yang tidak jelas respon kurang baik peiriman tanpa komfirmasi ke pembeli","1"
"Yogi Firmansyah","Apps nyaman untuk di gunakan tidak Lola, tetapi sayang sekali harus pakai OVO yang mana jika top-up langsung kepotong uangnya","5"
"Ummu Hanifah Official","Kecewa banget. Masa sih 1 keluarga dengan berbeda akun namun 1 alamat dikatakan melanggar. Wajar dong 1 rumah 1 alamat banyak orang. Apalagi keluarga besar. Bisa sampai belasan mungkin puluhan yang punya hp itu. Orang tua. Anak2. Paman bibi dsb. Kenapa disalahkan?","1"
"Zulana Adha Rianti","terimakasih tokopedia..! sudah langganan belanja disini.. kerenn","5"
"Rani Nur","Pengennya sih kasih 0. Berkali kali hapus rekening gagal, yang lebih gak ngerti mau hapus rekening malah diminta data rekening dan apl suka keluar sendiri kalau menghubungi tokopedia care","1"
"Tiara Resti Septiyani","Aplikasi jelek, pas awal daftar sebagai pengguna baru dan mau klaim hadiah pengguna baru di batalkan sepihak,tiap beli pakai voucher potongan 20 ribu pasti di cuekin ga di proses sama seller sampe batal sendiri sombong.","1"
"Ria Ardhiyaningtyas","pertama kali saya belanja disini saya dikasih promo tiba2 setelah saya sdh bayar kemudian pesanan dibatalkan oleh tokped dgn alasan melanggan s&k, kl memang tidak berniat memberikan promo yasudah mending ngak usah dikasih aja dr pada dikasih promo dan hasilnya mengecewakan","1"
"Setia Budi","Terima kasih tuk perbaikan sistem dan manajemen. Moga bisa berkembang dan bertahan","5"
"Hilyani Saja","Aplikasi buatan anak bangsa. Sangat nyaman digunakan untuk berbelanja ataupun membayar tagihan, dsb. Banyak promo yang menggiurkan dan asli, bukan pancingan semata. Data yang digunakan juga tidak besar.","5"
"Aulia Rahman","Mohon maaf untuk pihak tokopedia yg berwenang... Saya ingin menginfokan aplikasi tokped sudah 2 hari ini down.. Saya tidak bisa membuka etalase pelapak dengan sempurna(foto tidak tampil)... Padahal jaringan saya bagus dan saya buka aplikasi lain tidak ada gangguan.. Terima kasih mohon untuk di tindak lanjuti...","5"
"Marwita XII KI 5","Mantap banget, Banyak Peromo dari Tokopedia. Recommended bagi yang ingin belanja online. Fitur sudah diperbarui dan makin nyaman berbelanja. Thanks Tokopedia","5"
"Fitri Ani","Alhamdulillah baru pertama daftar Sdh dapat gratis ongkir dan barangnya gratis lgi...sukses sellu Tokopedia.,terima kasih","5"
"Rohema Amelia","Maaf nih yah gimana caranya klok mau masukin no telfon dan klok lupa masuk ke mana yah aplikasi nya yah maaf nih","4"
"Andi Gigih","Saya kasih bintang 5,tapi maaf,tolong lebih di tingkatkan lagi donk,di kasih dana yang bisa untuk kredit lewat tokopedia,khusus tokopedia,kayak toko online lainnya biar lebih enak kalau mau ambil barang gitu,makasih","5"
"dedi friatna","Sebelum update saya bisa cod, kok setelah update opsi codnya ga ada ya?","3"
"Puji Raharjo","Baru di hapus masuknya susah, dulu tanggal lahir udah dibetulkan kok berubah lagi","1"
"meida kurniawan","Pengguna baru dpt gratisan barang??? Baaaaaahhhhh tipuuuu tipuuuu kauuuu, g usah download lah, ntr nyeseeell!!!!!","1"
"Muhammad Zie Fajrin","Jangan pernah mau deh pake fitur tuker tambah hp, masa hp xiaomi 5a saya masih mulus di hargain 350k, temen saya aja nawar 550k blom saya lepas","1"
"Fastnet Wifi","Bagus . Cuma sekian lama pake aplikasi ini gak bisa bantu klo lagi dana kurang. Pay later gk bisa bisa.????","2"
"SOFYAN DAI","Aplikasi yg sangat membantu dalam mencari kebutuhan kita sehari-hari....","4"
"Safiira Rahmah Linisa","Pesanan saya tau tau di batalkan oleh Tokopedia karena melanggar t&c. Padahal saya tidak melakukan apapun. Dan uang yang sudah dibayarkan hilang. Ngeselin banget gak bakalan lagi beli disini. 150k banyak banget bagi saya yang masih sekolah yang uangnya saya kumpulkan tiap hari.","4"
"kartika Apriliani","terimakasih tokopedia . mudah mudahan pesanannya di kirim dengan baik. dan saya jadi pelanggan di tokopedia","4"
"Arief Fajar R","waw saya mendapatkan barang pertama saya dengan harga 0 rupiah, Terima kasih Tokopedia","5"
"Imam Taufik","Tokopedia makin oke dan jaya selalu, kalau bisa tolong di fikirkan bersama pengiriman ke Papua under 100k biar Indonesia bagian timur ikut merasakan belanja online lebih murah.","5"
"kahfi collection","senangnya dapat hadiah dari tokped untuk pengguna baru,terima kasih Tokopedia untuk hadiahnya??","5"
"Bima Hartono","Sangat membantu dengan harga terjangkau dan pengiriman cepat gosend","5"
"Mughie Eka pratama","Keluhan saya gak di tanggapi mending olshop lain lah yang bisa membantu keluhan konsumen??????????","1"
"Bagus Puspito","Mohon tindak tegas partnership ekspedisi anda yang bernama ""ANTERAJA"". Karena sudah banyak merugikan buyer, tolong keprofesionalan nya. Jika ANTERAJA tidak mampu menciptakan ekspedisi yang kompeten, kami sebagai buyer menuntut agar EKSPEDISI ANTERAJA di depak dari partnership oleh tokopedia","1"
"Husnal Khat","terimakasih Tokopedia selalu berikan yg terbaik?? paling suka sama tampilan UI nya Tokopedia dibandingkan e-commerce lain","5"
"RHAKA ADITYA RESWARA","Menurut saya. Tokopedia adalah aplikasi belanja online yang bagus. Dikarenakan tampilan interface nya yang nyaman dipandang.","5"
"argo buana","Beberapa kali beli barang disini ditikung sama pembeli lain. Sudah deal dengan penjual, lalu saya cekout dan ternyata dana kembali karena sudah dicekout pembeli lain. Saran kepada tim Tokopedia, alangkah baiknya kalau barang yg sudah dicekout pembeli pertama, maka tidak bisa dicekout pembeli yang lain. Merugikan pembeli pertama karena sudah deal dengan penjual namun diserobot pembeli lain.","1"
"intan sopianti","Udh baguss sih apk nya cuman sedih nya klau login harus masukin kode verifikasi gk papa cuman sekali masukin langsung masuk lah ini beberapa kali.. udh mah beberapa kali juga tetep gk masuk masuk udh pencet lupa kode juga berhasil tetep harus masukin lagi.. ahh sad","2"
"Faridah Nurindah","Tolong donk pihak tokped saya belanja di tokped di kirimin barang nya lama banget. Mau komplen malah gak bisa adeuhhhh","1"
"Shido Itsuka","Ongkir mahal, gk bisa bayar di tempat, gk bisa bayar di indomaret/Alfamart, kirain pengguna baru beneran dapat traktiran, ternyata tetap aja harus bayar_-","1"
"maria messa","Kenapa mau masuk ke menu pembayaran selalu error'? Jadi tidak bisa belanja lah saya","4"
"Ali Imron","lengkap dan harga nya bersahabat, kualitas barang nya bagus","5"
"Rizkiana Mei Arofah","Tokopedia market place yang membantu semua transaksi belanja maupun bayar tagihan . terimakasih toped","5"
"Putra Purbaya","sangat senang sx belanja di toped, semua serba mudah dan cepat","5"
"benkbenk yraone","Gimana sih..udah dowloat udah pakai..tiap ada kabar masuk slalu dowloat lgi dan lagi..tolong di benerin ini apk","4"
"Faishal Nawwaf","Pelayanan yang sangat memuaskan, paket mendarat dengan cepat dalam 1 hari","5"
"charmi wati","lumayan membantu dalam belanja online dan sering ada promo tiap tgl 25.","4"
"Iqbal Firdaus","Alhamdulillah,, banyak promo untuk pembayaran.... rekomendasi banget dhh..","5"
"NengSanti","Jatuh cinta sama aplikasi ini Bakal pindah langganan kayanya dari marketplace sebelah. Ringan banget di hp aku juga gak berat Banyak In lagi promo dan cashbacknya juga gratis ongkirnya","5"
"Khusnul Khotimah","Kenapa Saya Upgrade malah Total bebas Ongkir nya Tinggal 4 kli sedangkan aku aja baru sekali belanja Di tokopedia harusnya masih sisa 49 .nyesel w upgrade","1"
"Mega Arissa","is the best pokoknya. . saya tunggu traktiran barangnya untuk pengguna baru dari tokopedia. . trims tokopedia","5"
"060 _ Moh Roisul Basyar A. Z.","2 kali belanja, 2 kali dibatalin gara2 kupon promo., BGST, mending gak usah ada tuh kupon promo2an kalo nggk boleh dipake, Saldo gue jadi mengendap terus di Saldo Tokped kan., emang AJNg., Aplikasi belanja Dengan pembayaran TERSULIT ya ini.","1"
"Cicilia Maryati","Buat ada promo 0 rp untuk pengguna baru apabila ujung-ujungnya di batal kan pesanan oleh Tokopedia nya? Melanggar katanya..??? Kocak dasar... Wkwkwk..","1"
"Mahfoed Anwar","Saya kasih bintang 3 dulu,,, Dan saya punya saran kalau bsa untuk pilihan pengiriman jngan sampai seprti si Oren dan si Biru,,,(tidak bsa memilih jsa pengiriman/kurir),","3"
"firda aviyanti","Puas sekali beli di tokopedia, enggak pernah sayang kalo ngasih diskon tiap hari selalu ada gratis ongkir dan potongan harga . ?","5"
"lastono santoso","Gw kirain cm gw ternyata yg lain jg sama Kl gak mampu mengelola aplikasi mendingan ditutup aj no telp aktiv 24 jam jg di bilang g bisa di telp anjim2 sebenernya kl cm pengen untung dr download app jgn gini lah ini seperti scam penipuan ?? sorry kata2 gw kasar tp memang ini kenyataannya iya gak kira2 pantes aja banyak toko penipu barang","1"
"Dhakir Desrosier","Beli pulsa tidak masuk malah akun saya sekarang tidak bisa pakai kupon katanya melanggar,di chat balasan tidak jelas pelanggaran apa. Dah lah malas pakai tokped","1"
"Nakaumi Matsuri","Beberapa hari ini lbh aktif pake tokped.. Secara promo emng better tokped.. Udh gitu bs gratis ongkir pake GO-SEND, kadang dibutuhkn saat stock anabul abs.. Cuma masukan untuk ""bebas ongkir"" Nya jgn anteraja, lama bgt respon kurir nya, paket ku udh 2 hari statusnya nunggu pickup kurir.. 2 hr cuma nunggu kurir pickup barang dr seller doang loh, nyampe nya kapan? ?? Better Sicepat min, 2 hari udh nyampe ke pembeli...","4"
"Djit Fung","aprikasi ok sangat membantu belanja online bagi yang sibuk kerja di rumah.","5"
"Paulus herry","Semoga semakin meningkatkan pelayanan untuk para pelanggan, karena kepercayaan yang utama bagi setiap pelanggan .....","5"
"Andi Setiawan","Tetap pertahankan tokopedia saat ini demi kepuasan pelanggan, ga kaya e-commerce sebelah mau order aja ribet banget padahal isi data alamat udah bener tapi tetep aja ga bisa order & gratis ongkir sangat amat terbatas terimakasih tokopedia atas friendly user saat ini selama gw belanja disini tidak pernah kecewa dan selalu puas.. semoga tokopedia makin maju dan blokir seller penipu/abal-abal agar belanja disini lebih aman nyaman dan tentunya terpercaya itu aja sih.. thanks tokopedia","5"
"Ditta AprlMld","Udah aku bayar tiba2 di batal in aja gimana sih mau nya ini mending jangan beli di Tokopedia lagideh","1"
"Edi Sudrajat","Seller nakal harus di tertibkan supaya tidak merugikan orang lain","5"
"Muhamad Hasil","tokopedia terbaik untuk semua mantap, terima kasih banyak","5"
"Ngatmi Sri","Payah banget sekarang ya.. Cod. An susah di gunakan beda sama dulu","1"
"Muhammad Yusuf","Siiiap,, saya saran kan untuk toped. ongkirnya klo bisa 11.500 agar pelanggan dengan senantiasa berbelanja.","5"
"Cecep Mulyana","klo Pembeli harus buat video unboxing, klo penjual harusnya buat video packing & foto real pict. jadi tidak salah2 kirim","4"
"Abdul Kosim","Aneh masa karna satu keluarga mau order di alamat sama.. tidak bisa,selalu di batal kan.berarti dalam satu rumah hanya satu akun belanja..sedangkan tiap rumah ada beberapa org","1"
"Maju Terus","Barang sdh saya kirimkan 5 jam sblm hbis estimasi waktu namun Krn sistem Tokopedia lelet jadinya di batalkan otomatis ,sedangkan paket yg saya kirim tetep di antarkan ke pembeli oleh kurir, gara gara sistem update resimu lelet kita penjual di rugikan Saran BELAJARLAH PADA SHOPEE UPDATE RESI BENER BENER CEPAT BEGITU BARANG DI TANGAN KURIR GK SAMPE 1 JAM NOTIFIKASI BARANG TERKIRIM Sudah pengaduan ke chat Tokopedia katanya transaksi melanggar inilah , waktu sdh hbis baru di kirimkan ,bner2 pyah","1"
"Dicky Martin Project","Program Cashback Tokopedia sampai 100jt apakah hanyalah Gimikk? Cashback sayaa senilai 262K saja tidak bisa diproses Tokopedia dengan alasan tidak mengikuti syarat dan ketentuan yg berlaku yaitu ""akun anda sudah terdaftar"" Padahal ini adalah transaksi pertama saya di Tokped, sebelumnya saya pengguna Shoppe... Ingin mendukung Aplikasi Produk Bangsa dan malah dapat kecewa ""Mengambil Hak Konsumen atas Cashback senilai 260K dengan alasan tidak sesuai syarat dan ketentuan"" Sekian dan TerimaGimik","1"
"iLab X","fitur link langganan tagihan shortcutnya terlalu susah mencarinya.. mohon disederhanakan. Terima kasih.","5"
"Hafiz Muliadi","Kalau Banyak Diskon saya tambah lagi, baru satu voucher dapat","4"
"Wiyanti Arista","Kenapa gabisa daftar ya ? Nmr pin tiba2 ke tulis sendiri, pas di suru ngetik lagi sendiri eh salah dan gabisa","1"
"lantikadewi nugraha","Suka bgt sama tokopedia karna selain karya anak bangsa fiturnya pun sangan memudahkan pengguna dalam melakukan proses pembelian online??","5"
